strata,filter,class,value,labels,variable,var_long,facet_label
3,cum,dhi,0.3000772297382355,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,1.250775694847107,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,0.555815577507019,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,2.425034284591675,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.5501428842544556,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,0.7213488221168518,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,0.79459381103515625,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,1.34854257106781,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,0.34317922592163086,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,0.17149944603443146,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.26693451404571533,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,0.0267870482057333,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,0.15078406035900116,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,0.13176779448986053,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,2.3014132976531982,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,3.1924023628234863,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.3549533486366272,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,2.0301926136016846,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,1.4841511249542236,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,1.2135306596755981,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,1.7229416370391846,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,1.2330907583236694,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.7177090048789978,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,0.09532942622900009,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,2.760145902633667,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,0.9788213968276978,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,0.3966739773750305,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,7.072089672088623,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,2.407240390777588,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,2.8831613063812256,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,1.9787870645523071,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,0.3887806832790375,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,1.1427991390228271,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,1.7326974868774414,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.6437554955482483,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,0.4864691495895386,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,0.16521532833576202,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,1.046533226966858,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,0.52436065673828125,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,2.0029916763305664,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.09933692216873169,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,1.1121577024459839,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,0.3878469169139862,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,0.038421373814344406,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,1.251874566078186,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,0.10832786560058594,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
3,complexity,str,0.2765873074531555,High Pressure (8+),elev_cv,Structural Complexity,Structure - Top 10% Structural Complexity
3,cover,str,2.927098539657891e-4,High Pressure (8+),percentage_first_returns_above_2m,Canopy Cover,Structure - Top 10% Canopy Cover
3,cum,dhi,0.08497272431850433,High Pressure (8+),CumDHI,Cumulative DHI,Productivity - Top 10% Cumulative DHI
3,height,str,0.14766640961170197,High Pressure (8+),elev_p95,Canopy Height,Structure - Top 10% Canopy Height
3,var,dhi,2.9572854042053223,High Pressure (8+),VarDHI,Variation DHI,Productivity - Top 10% Variation DHI
3,biomass,str,0.7733787894248962,High Pressure (8+),total_biomass,Aboveground Biomass,Structure - Top 10% Aboveground Biomass
